question,answer
What is 504 minus 676?,-172
What is 656 minus 717?,-61
What is 938 minus 812?,126
What is 365 minus 84?,281
What is 332 minus 627?,-295
What is 118 minus 498?,-380
What is 601 minus 645?,-44
What is 343 minus 865?,-522
What is 194 minus 248?,-54
What is 16 minus 749?,-733
What is 277 minus 119?,158
What is 722 minus 225?,497
What is 380 minus 813?,-433
What is 174 minus 340?,-166
What is 436 minus 835?,-399
What is 63 minus 103?,-40
What is 801 minus 149?,652
What is 875 minus 714?,161
What is 224 minus 46?,178
What is 836 minus 587?,249
What is 649 minus 931?,-282
What is 958 minus 547?,411
What is 616 minus 696?,-80
What is 75 minus 27?,48
What is 127 minus 650?,-523
What is 193 minus 620?,-427
What is 850 minus 589?,261
What is 122 minus 400?,-278
What is 93 minus 379?,-286
What is 853 minus 118?,735
What is 37 minus 620?,-583
What is 22 minus 199?,-177
What is 984 minus 993?,-9
What is 189 minus 735?,-546
What is 126 minus 490?,-364
What is 215 minus 744?,-529
What is 819 minus 62?,757
What is 959 minus 695?,264
What is 23 minus 557?,-534
What is 435 minus 635?,-200
What is 103 minus 855?,-752
What is 266 minus 71?,195
What is 226 minus 73?,153
What is 662 minus 308?,354
What is 358 minus 446?,-88
What is 184 minus 62?,122
What is 515 minus 478?,37
What is 40 minus 610?,-570
What is 103 minus 716?,-613
What is 400 minus 204?,196
What is 266 minus 367?,-101
What is 926 minus 749?,177
What is 481 minus 858?,-377
What is 923 minus 940?,-17
What is 583 minus 173?,410
What is 714 minus 688?,26
What is 208 minus 989?,-781
What is 785 minus 59?,726
What is 807 minus 692?,115
What is 162 minus 865?,-703
What is 165 minus 350?,-185
What is 542 minus 256?,286
What is 120 minus 611?,-491
What is 943 minus 452?,491
What is 681 minus 179?,502
What is 13 minus 482?,-469
What is 697 minus 419?,278
What is 921 minus 582?,339
What is 895 minus 520?,375
What is 939 minus 318?,621
What is 664 minus 365?,299
What is 397 minus 857?,-460
What is 673 minus 256?,417
What is 157 minus 574?,-417
What is 707 minus 12?,695
What is 468 minus 759?,-291
What is 80 minus 343?,-263
What is 756 minus 46?,710
What is 557 minus 287?,270
What is 138 minus 245?,-107
What is 780 minus 976?,-196
What is 493 minus 360?,133
What is 624 minus 294?,330
What is 689 minus 367?,322
What is 604 minus 969?,-365
What is 913 minus 648?,265
What is 874 minus 635?,239
What is 135 minus 732?,-597
What is 317 minus 397?,-80
What is 766 minus 424?,342
What is 848 minus 666?,182
What is 82 minus 1?,81
What is 608 minus 196?,412
What is 715 minus 342?,373
What is 163 minus 245?,-82
What is 228 minus 652?,-424
What is 458 minus 387?,71
What is 727 minus 896?,-169
What is 689 minus 581?,108
What is 895 minus 424?,471
What is 32 minus 411?,-379
What is 892 minus 718?,174
What is 581 minus 428?,153
What is 790 minus 678?,112
What is 726 minus 47?,679
What is 169 minus 456?,-287
What is 65 minus 265?,-200
What is 718 minus 161?,557
What is 457 minus 540?,-83
What is 906 minus 498?,408
What is 929 minus 574?,355
What is 618 minus 773?,-155
What is 0 minus 905?,-905
What is 39 minus 506?,-467
What is 333 minus 319?,14
What is 857 minus 478?,379
What is 51 minus 828?,-777
What is 842 minus 896?,-54
What is 997 minus 831?,166
What is 425 minus 192?,233
What is 561 minus 986?,-425
What is 648 minus 85?,563
What is 857 minus 742?,115
What is 133 minus 15?,118
What is 411 minus 972?,-561
What is 694 minus 427?,267
What is 323 minus 3?,320
What is 218 minus 14?,204
What is 734 minus 772?,-38
What is 2 minus 842?,-840
What is 691 minus 541?,150
What is 626 minus 100?,526
What is 195 minus 121?,74
What is 622 minus 664?,-42
What is 203 minus 894?,-691
What is 309 minus 286?,23
What is 705 minus 186?,519
What is 102 minus 487?,-385
What is 874 minus 944?,-70
What is 406 minus 642?,-236
What is 83 minus 22?,61
What is 281 minus 935?,-654
What is 463 minus 819?,-356
What is 811 minus 118?,693
What is 882 minus 262?,620
What is 136 minus 669?,-533
What is 533 minus 836?,-303
What is 666 minus 660?,6
What is 355 minus 117?,238
What is 892 minus 158?,734
What is 285 minus 871?,-586
What is 19 minus 43?,-24
What is 41 minus 210?,-169
What is 697 minus 265?,432
What is 571 minus 322?,249
What is 969 minus 375?,594
What is 960 minus 581?,379
What is 931 minus 869?,62
What is 43 minus 866?,-823
What is 767 minus 984?,-217
What is 718 minus 622?,96
What is 671 minus 506?,165
What is 729 minus 659?,70
What is 924 minus 469?,455
What is 655 minus 445?,210
What is 381 minus 892?,-511
What is 550 minus 182?,368
What is 212 minus 384?,-172
What is 601 minus 298?,303
What is 9 minus 141?,-132
What is 154 minus 277?,-123
What is 341 minus 345?,-4
What is 808 minus 376?,432
What is 735 minus 95?,640
What is 346 minus 798?,-452
What is 635 minus 36?,599
What is 42 minus 276?,-234
What is 167 minus 153?,14
What is 597 minus 296?,301
What is 369 minus 404?,-35
What is 561 minus 132?,429
What is 300 minus 117?,183
What is 489 minus 748?,-259
What is 245 minus 956?,-711
What is 49 minus 315?,-266
What is 183 minus 877?,-694
What is 535 minus 746?,-211
What is 72 minus 309?,-237
What is 412 minus 855?,-443
What is 336 minus 306?,30
What is 424 minus 111?,313
What is 101 minus 574?,-473
What is 930 minus 492?,438
What is 485 minus 345?,140
What is 861 minus 817?,44
What is 999 minus 831?,168
What is 351 minus 127?,224
What is 490 minus 118?,372
What is 716 minus 509?,207
What is 436 minus 38?,398
What is 309 minus 343?,-34
What is 752 minus 703?,49
What is 915 minus 159?,756
What is 941 minus 170?,771
What is 641 minus 578?,63
What is 384 minus 825?,-441
What is 997 minus 654?,343
What is 89 minus 67?,22
What is 827 minus 86?,741
What is 202 minus 767?,-565
What is 226 minus 62?,164
What is 394 minus 8?,386
What is 100 minus 403?,-303
What is 569 minus 531?,38
What is 296 minus 459?,-163
What is 942 minus 500?,442
What is 807 minus 598?,209
What is 731 minus 695?,36
What is 222 minus 433?,-211
What is 85 minus 377?,-292
What is 225 minus 267?,-42
What is 599 minus 795?,-196
What is 170 minus 441?,-271
What is 196 minus 367?,-171
What is 117 minus 65?,52
What is 841 minus 884?,-43
What is 873 minus 718?,155
What is 28 minus 924?,-896
What is 538 minus 462?,76
What is 770 minus 693?,77
What is 206 minus 121?,85
What is 509 minus 407?,102
What is 262 minus 212?,50
What is 656 minus 43?,613
What is 970 minus 816?,154
What is 221 minus 638?,-417
What is 149 minus 107?,42
What is 202 minus 469?,-267
What is 387 minus 370?,17
What is 559 minus 846?,-287
What is 154 minus 107?,47
What is 610 minus 499?,111
What is 151 minus 577?,-426
What is 415 minus 653?,-238
What is 696 minus 433?,263
What is 898 minus 533?,365
What is 507 minus 695?,-188
What is 939 minus 909?,30
What is 330 minus 853?,-523
What is 510 minus 510?,0
What is 650 minus 686?,-36
What is 895 minus 206?,689
What is 555 minus 624?,-69
What is 953 minus 224?,729
What is 9 minus 348?,-339
What is 722 minus 985?,-263
What is 764 minus 920?,-156
What is 325 minus 837?,-512
What is 329 minus 36?,293
What is 537 minus 151?,386
What is 895 minus 263?,632
What is 617 minus 802?,-185
What is 159 minus 862?,-703
What is 388 minus 596?,-208
What is 301 minus 735?,-434
What is 723 minus 826?,-103
What is 481 minus 67?,414
What is 819 minus 86?,733
What is 528 minus 889?,-361
What is 937 minus 40?,897
What is 67 minus 230?,-163
What is 133 minus 41?,92
What is 307 minus 15?,292
What is 777 minus 864?,-87
What is 459 minus 338?,121
What is 882 minus 164?,718
What is 819 minus 152?,667
What is 889 minus 671?,218
What is 471 minus 991?,-520
What is 380 minus 517?,-137
What is 391 minus 922?,-531
What is 542 minus 514?,28
What is 34 minus 587?,-553
What is 92 minus 694?,-602
What is 813 minus 824?,-11
What is 530 minus 776?,-246
What is 614 minus 78?,536
What is 764 minus 436?,328
What is 927 minus 772?,155
What is 211 minus 296?,-85
What is 548 minus 922?,-374
What is 612 minus 427?,185
What is 845 minus 995?,-150
What is 493 minus 865?,-372
What is 810 minus 995?,-185
What is 397 minus 622?,-225
What is 600 minus 239?,361
What is 871 minus 885?,-14
What is 817 minus 20?,797
What is 672 minus 906?,-234
What is 0 minus 758?,-758
What is 186 minus 309?,-123
What is 519 minus 583?,-64
What is 260 minus 340?,-80
What is 67 minus 505?,-438
What is 880 minus 268?,612
What is 965 minus 844?,121
What is 310 minus 791?,-481
What is 417 minus 393?,24
What is 829 minus 392?,437
What is 63 minus 167?,-104
What is 656 minus 957?,-301
What is 130 minus 244?,-114
What is 293 minus 746?,-453
What is 849 minus 342?,507
What is 56 minus 964?,-908
What is 36 minus 492?,-456
What is 427 minus 144?,283
What is 503 minus 911?,-408
What is 884 minus 616?,268
What is 734 minus 83?,651
What is 689 minus 715?,-26
What is 155 minus 829?,-674
What is 361 minus 421?,-60
What is 36 minus 626?,-590
What is 477 minus 395?,82
What is 469 minus 48?,421
What is 103 minus 482?,-379
What is 796 minus 155?,641
What is 20 minus 33?,-13
What is 612 minus 632?,-20
What is 135 minus 645?,-510
What is 331 minus 107?,224
What is 716 minus 562?,154
What is 664 minus 354?,310
What is 199 minus 392?,-193
What is 802 minus 795?,7
What is 796 minus 502?,294
What is 113 minus 902?,-789
What is 61 minus 624?,-563
What is 717 minus 478?,239
What is 629 minus 647?,-18
What is 956 minus 345?,611
What is 666 minus 127?,539
What is 992 minus 698?,294
What is 730 minus 636?,94
What is 303 minus 807?,-504
What is 869 minus 130?,739
What is 981 minus 933?,48
What is 396 minus 818?,-422
What is 300 minus 938?,-638
What is 763 minus 893?,-130
What is 980 minus 697?,283
What is 829 minus 124?,705
What is 531 minus 881?,-350
What is 804 minus 193?,611
What is 39 minus 800?,-761
What is 401 minus 455?,-54
What is 380 minus 774?,-394
What is 195 minus 466?,-271
What is 365 minus 808?,-443
What is 647 minus 77?,570
What is 979 minus 45?,934
What is 923 minus 956?,-33
What is 40 minus 497?,-457
What is 261 minus 922?,-661
What is 27 minus 967?,-940
What is 532 minus 682?,-150
What is 582 minus 585?,-3
What is 896 minus 221?,675
What is 235 minus 95?,140
What is 794 minus 839?,-45
What is 905 minus 910?,-5
What is 642 minus 798?,-156
What is 514 minus 715?,-201
What is 536 minus 430?,106
What is 519 minus 312?,207
What is 968 minus 116?,852
What is 149 minus 436?,-287
What is 913 minus 579?,334
What is 432 minus 945?,-513
What is 86 minus 958?,-872
What is 107 minus 425?,-318
What is 64 minus 101?,-37
What is 425 minus 792?,-367
What is 159 minus 751?,-592
What is 977 minus 31?,946
What is 810 minus 457?,353
What is 441 minus 702?,-261
What is 427 minus 30?,397
What is 508 minus 941?,-433
What is 884 minus 985?,-101
What is 332 minus 739?,-407
What is 258 minus 80?,178
What is 360 minus 72?,288
What is 124 minus 367?,-243
What is 708 minus 30?,678
What is 353 minus 356?,-3
What is 182 minus 10?,172
What is 850 minus 997?,-147
What is 236 minus 838?,-602
What is 374 minus 72?,302
What is 610 minus 914?,-304
What is 146 minus 212?,-66
What is 3 minus 209?,-206
What is 674 minus 689?,-15
What is 749 minus 960?,-211
What is 922 minus 126?,796
What is 765 minus 7?,758
What is 300 minus 377?,-77
What is 706 minus 25?,681
What is 955 minus 619?,336
What is 238 minus 879?,-641
What is 145 minus 191?,-46
What is 464 minus 115?,349
What is 488 minus 352?,136
What is 724 minus 982?,-258
What is 264 minus 133?,131
What is 28 minus 989?,-961
What is 213 minus 370?,-157
What is 343 minus 484?,-141
What is 983 minus 299?,684
What is 303 minus 959?,-656
What is 899 minus 981?,-82
What is 566 minus 651?,-85
What is 334 minus 188?,146
What is 607 minus 82?,525
What is 105 minus 546?,-441
What is 594 minus 315?,279
What is 160 minus 385?,-225
What is 919 minus 150?,769
What is 968 minus 128?,840
What is 823 minus 228?,595
What is 323 minus 520?,-197
What is 248 minus 242?,6
What is 772 minus 188?,584
What is 298 minus 381?,-83
What is 429 minus 679?,-250
What is 47 minus 881?,-834
What is 135 minus 615?,-480
What is 21 minus 403?,-382
What is 79 minus 719?,-640
What is 74 minus 135?,-61
What is 430 minus 306?,124
What is 563 minus 426?,137
What is 758 minus 948?,-190
What is 145 minus 605?,-460
What is 432 minus 305?,127
What is 652 minus 363?,289
What is 86 minus 254?,-168
What is 455 minus 647?,-192
What is 378 minus 652?,-274
What is 971 minus 541?,430
What is 59 minus 385?,-326
What is 418 minus 8?,410
What is 427 minus 985?,-558
What is 745 minus 922?,-177
What is 328 minus 451?,-123
What is 208 minus 380?,-172
What is 300 minus 975?,-675
What is 482 minus 93?,389
What is 973 minus 189?,784
What is 815 minus 111?,704
What is 283 minus 114?,169
What is 571 minus 620?,-49
What is 704 minus 157?,547
What is 814 minus 719?,95
What is 456 minus 950?,-494
What is 408 minus 189?,219
What is 786 minus 431?,355
What is 442 minus 178?,264
What is 253 minus 982?,-729
What is 464 minus 348?,116
What is 959 minus 535?,424
What is 145 minus 363?,-218
What is 473 minus 646?,-173
What is 652 minus 88?,564
What is 494 minus 773?,-279
What is 208 minus 301?,-93
What is 1 minus 850?,-849
What is 715 minus 459?,256
What is 633 minus 473?,160
What is 7 minus 223?,-216
What is 305 minus 117?,188
What is 787 minus 644?,143
What is 308 minus 558?,-250
What is 623 minus 159?,464
What is 434 minus 723?,-289
What is 769 minus 482?,287
What is 94 minus 694?,-600
What is 509 minus 778?,-269
What is 983 minus 237?,746
What is 556 minus 780?,-224
What is 415 minus 286?,129
What is 647 minus 22?,625
What is 123 minus 276?,-153
What is 904 minus 684?,220
What is 41 minus 0?,41
What is 262 minus 407?,-145
What is 538 minus 911?,-373
What is 595 minus 727?,-132
What is 405 minus 455?,-50
What is 104 minus 764?,-660
What is 258 minus 362?,-104
What is 290 minus 892?,-602
What is 773 minus 688?,85
What is 930 minus 200?,730
What is 609 minus 87?,522
What is 36 minus 72?,-36
What is 811 minus 268?,543
What is 312 minus 546?,-234
What is 348 minus 121?,227
What is 542 minus 880?,-338
What is 255 minus 912?,-657
What is 942 minus 780?,162
What is 167 minus 69?,98
What is 424 minus 881?,-457
What is 296 minus 289?,7
What is 532 minus 137?,395
What is 587 minus 535?,52
What is 642 minus 215?,427
What is 544 minus 107?,437
What is 420 minus 978?,-558
What is 649 minus 556?,93
What is 413 minus 759?,-346
What is 797 minus 925?,-128
What is 807 minus 285?,522
What is 299 minus 452?,-153
What is 380 minus 581?,-201
What is 643 minus 141?,502
What is 160 minus 126?,34
What is 713 minus 123?,590
What is 390 minus 410?,-20
What is 605 minus 479?,126
What is 142 minus 573?,-431
What is 684 minus 306?,378
What is 362 minus 647?,-285
What is 484 minus 760?,-276
What is 425 minus 223?,202
What is 488 minus 500?,-12
What is 711 minus 513?,198
What is 325 minus 504?,-179
What is 667 minus 981?,-314
What is 61 minus 454?,-393
What is 307 minus 146?,161
What is 763 minus 507?,256
What is 53 minus 908?,-855
What is 636 minus 220?,416
What is 26 minus 363?,-337
What is 482 minus 400?,82
What is 909 minus 10?,899
What is 866 minus 539?,327
What is 68 minus 703?,-635
What is 887 minus 83?,804
What is 702 minus 972?,-270
What is 759 minus 946?,-187
What is 685 minus 404?,281
What is 6 minus 369?,-363
What is 42 minus 118?,-76
What is 635 minus 3?,632
What is 276 minus 894?,-618
What is 655 minus 716?,-61
What is 299 minus 744?,-445
What is 922 minus 232?,690
What is 144 minus 769?,-625
What is 586 minus 294?,292
What is 195 minus 107?,88
What is 444 minus 471?,-27
What is 733 minus 338?,395
What is 393 minus 172?,221
What is 338 minus 431?,-93
What is 663 minus 918?,-255
What is 703 minus 445?,258
What is 151 minus 458?,-307
What is 955 minus 725?,230
What is 151 minus 536?,-385
What is 323 minus 132?,191
What is 213 minus 932?,-719
What is 191 minus 454?,-263
What is 357 minus 808?,-451
What is 398 minus 437?,-39
What is 826 minus 503?,323
What is 398 minus 747?,-349
What is 225 minus 814?,-589
What is 200 minus 449?,-249
What is 962 minus 209?,753
What is 600 minus 727?,-127
What is 50 minus 927?,-877
What is 397 minus 34?,363
What is 239 minus 648?,-409
What is 86 minus 891?,-805
What is 191 minus 372?,-181
What is 58 minus 760?,-702
What is 653 minus 693?,-40
What is 177 minus 238?,-61
What is 625 minus 304?,321
What is 627 minus 88?,539
What is 721 minus 889?,-168
What is 524 minus 769?,-245
What is 291 minus 789?,-498
What is 898 minus 904?,-6
What is 361 minus 421?,-60
What is 469 minus 55?,414
What is 647 minus 713?,-66
What is 528 minus 681?,-153
What is 979 minus 664?,315
What is 977 minus 560?,417
What is 952 minus 752?,200
What is 956 minus 440?,516
What is 594 minus 465?,129
What is 501 minus 260?,241
What is 721 minus 487?,234
What is 220 minus 345?,-125
What is 272 minus 43?,229
What is 44 minus 53?,-9
What is 166 minus 358?,-192
What is 3 minus 296?,-293
What is 670 minus 7?,663
What is 143 minus 65?,78
What is 805 minus 438?,367
What is 696 minus 227?,469
What is 993 minus 623?,370
What is 406 minus 571?,-165
What is 943 minus 226?,717
What is 464 minus 197?,267
What is 347 minus 622?,-275
What is 104 minus 620?,-516
What is 904 minus 87?,817
What is 813 minus 326?,487
What is 330 minus 548?,-218
What is 466 minus 914?,-448
What is 332 minus 261?,71
What is 29 minus 534?,-505
What is 45 minus 194?,-149
What is 377 minus 82?,295
What is 214 minus 890?,-676
What is 537 minus 354?,183
What is 192 minus 857?,-665
What is 206 minus 257?,-51
What is 688 minus 746?,-58
What is 753 minus 308?,445
What is 319 minus 529?,-210
What is 880 minus 393?,487
What is 260 minus 493?,-233
What is 352 minus 892?,-540
What is 729 minus 245?,484
What is 45 minus 313?,-268
What is 956 minus 565?,391
What is 74 minus 9?,65
What is 471 minus 507?,-36
What is 741 minus 448?,293
What is 48 minus 939?,-891
What is 828 minus 422?,406
What is 505 minus 471?,34
What is 450 minus 120?,330
What is 87 minus 83?,4
What is 246 minus 101?,145
What is 846 minus 783?,63
What is 157 minus 423?,-266
What is 905 minus 941?,-36
What is 218 minus 451?,-233
What is 627 minus 78?,549
What is 837 minus 437?,400
What is 572 minus 772?,-200
What is 907 minus 849?,58
What is 403 minus 40?,363
What is 981 minus 184?,797
What is 255 minus 501?,-246
What is 225 minus 131?,94
What is 860 minus 891?,-31
What is 285 minus 956?,-671
What is 360 minus 327?,33
What is 445 minus 109?,336
What is 570 minus 921?,-351
What is 292 minus 624?,-332
What is 554 minus 807?,-253
What is 206 minus 728?,-522
What is 303 minus 796?,-493
What is 452 minus 526?,-74
What is 619 minus 473?,146
What is 549 minus 649?,-100
What is 267 minus 279?,-12
What is 237 minus 16?,221
What is 121 minus 629?,-508
What is 802 minus 728?,74
What is 101 minus 176?,-75
What is 750 minus 424?,326
What is 254 minus 223?,31
What is 291 minus 900?,-609
What is 753 minus 675?,78
What is 6 minus 759?,-753
What is 548 minus 527?,21
What is 438 minus 879?,-441
What is 50 minus 124?,-74
What is 393 minus 660?,-267
What is 279 minus 121?,158
What is 994 minus 754?,240
What is 578 minus 367?,211
What is 235 minus 691?,-456
What is 733 minus 720?,13
What is 559 minus 676?,-117
What is 288 minus 226?,62
What is 757 minus 851?,-94
What is 923 minus 245?,678
What is 66 minus 530?,-464
What is 314 minus 690?,-376
What is 335 minus 239?,96
What is 382 minus 643?,-261
What is 491 minus 293?,198
What is 596 minus 175?,421
What is 140 minus 829?,-689
What is 15 minus 566?,-551
What is 516 minus 335?,181
What is 375 minus 599?,-224
What is 650 minus 25?,625
What is 831 minus 132?,699
What is 897 minus 405?,492
What is 158 minus 999?,-841
What is 181 minus 522?,-341
What is 78 minus 138?,-60
What is 783 minus 211?,572
What is 800 minus 937?,-137
What is 793 minus 508?,285
What is 583 minus 785?,-202
What is 712 minus 992?,-280
What is 218 minus 240?,-22
What is 750 minus 135?,615
What is 835 minus 239?,596
What is 778 minus 393?,385
What is 361 minus 623?,-262
What is 605 minus 135?,470
What is 644 minus 510?,134
What is 922 minus 939?,-17
What is 110 minus 630?,-520
What is 853 minus 26?,827
What is 539 minus 610?,-71
What is 367 minus 500?,-133
What is 466 minus 316?,150
What is 12 minus 981?,-969
What is 225 minus 568?,-343
What is 668 minus 166?,502
What is 676 minus 900?,-224
What is 506 minus 828?,-322
What is 976 minus 755?,221
What is 492 minus 559?,-67
What is 321 minus 721?,-400
What is 868 minus 80?,788
What is 265 minus 140?,125
What is 618 minus 411?,207
What is 720 minus 195?,525
What is 841 minus 324?,517
What is 804 minus 298?,506
What is 393 minus 966?,-573
What is 60 minus 213?,-153
What is 39 minus 322?,-283
What is 743 minus 765?,-22
What is 984 minus 255?,729
What is 351 minus 883?,-532
What is 451 minus 684?,-233
What is 743 minus 675?,68
What is 673 minus 231?,442
What is 266 minus 352?,-86
What is 687 minus 166?,521
What is 312 minus 17?,295
What is 364 minus 587?,-223
What is 552 minus 59?,493
What is 749 minus 645?,104
What is 154 minus 361?,-207
What is 22 minus 502?,-480
What is 642 minus 62?,580
What is 25 minus 247?,-222
What is 46 minus 12?,34
What is 231 minus 968?,-737
What is 669 minus 334?,335
What is 68 minus 840?,-772
What is 63 minus 353?,-290
What is 995 minus 679?,316
What is 432 minus 139?,293
What is 913 minus 944?,-31
What is 221 minus 459?,-238
What is 445 minus 145?,300
What is 366 minus 319?,47
What is 181 minus 664?,-483
What is 336 minus 745?,-409
What is 804 minus 765?,39
What is 418 minus 391?,27
What is 9 minus 419?,-410
What is 912 minus 270?,642
What is 546 minus 544?,2
What is 823 minus 753?,70
What is 703 minus 721?,-18
What is 473 minus 777?,-304
What is 42 minus 578?,-536
What is 943 minus 125?,818
What is 418 minus 976?,-558
What is 399 minus 175?,224
What is 3 minus 512?,-509
What is 141 minus 636?,-495
What is 889 minus 677?,212
What is 526 minus 860?,-334
What is 750 minus 716?,34
What is 151 minus 81?,70
What is 337 minus 243?,94
What is 860 minus 848?,12
What is 840 minus 180?,660
What is 252 minus 968?,-716
What is 22 minus 979?,-957
What is 825 minus 917?,-92
What is 172 minus 760?,-588
What is 806 minus 858?,-52
What is 700 minus 574?,126
What is 172 minus 735?,-563
What is 80 minus 437?,-357
What is 949 minus 885?,64
What is 612 minus 106?,506
What is 635 minus 643?,-8
What is 468 minus 727?,-259
What is 153 minus 629?,-476
What is 616 minus 41?,575
What is 258 minus 348?,-90
What is 825 minus 755?,70
What is 750 minus 385?,365
What is 27 minus 640?,-613
What is 954 minus 910?,44
What is 37 minus 508?,-471
What is 91 minus 366?,-275
What is 299 minus 687?,-388
What is 154 minus 469?,-315
What is 241 minus 519?,-278
What is 364 minus 166?,198
What is 753 minus 771?,-18
What is 414 minus 345?,69
What is 276 minus 822?,-546
What is 504 minus 967?,-463
What is 402 minus 15?,387
What is 318 minus 543?,-225
What is 922 minus 295?,627
What is 563 minus 480?,83
What is 35 minus 791?,-756
What is 544 minus 584?,-40
What is 565 minus 268?,297
What is 956 minus 703?,253
What is 39 minus 466?,-427
What is 404 minus 738?,-334
What is 122 minus 413?,-291
What is 354 minus 507?,-153
What is 52 minus 21?,31
What is 279 minus 757?,-478
What is 35 minus 260?,-225
What is 697 minus 696?,1
What is 595 minus 719?,-124
What is 794 minus 951?,-157
What is 296 minus 702?,-406
What is 780 minus 212?,568
What is 780 minus 541?,239
What is 528 minus 348?,180
What is 395 minus 854?,-459
What is 995 minus 256?,739
What is 213 minus 118?,95
What is 579 minus 337?,242
What is 824 minus 991?,-167
What is 965 minus 946?,19
What is 248 minus 600?,-352
What is 690 minus 737?,-47
What is 545 minus 697?,-152
What is 896 minus 361?,535
What is 166 minus 938?,-772
What is 888 minus 921?,-33
What is 156 minus 338?,-182
What is 866 minus 765?,101
What is 839 minus 9?,830
What is 598 minus 835?,-237
What is 52 minus 578?,-526
What is 159 minus 975?,-816
What is 352 minus 371?,-19
What is 298 minus 640?,-342
What is 300 minus 330?,-30
What is 506 minus 801?,-295
What is 413 minus 615?,-202
What is 441 minus 174?,267
What is 1 minus 807?,-806
What is 144 minus 582?,-438
What is 44 minus 452?,-408
What is 128 minus 349?,-221
What is 951 minus 9?,942
What is 971 minus 738?,233
What is 491 minus 931?,-440
What is 969 minus 680?,289
What is 838 minus 678?,160
What is 797 minus 263?,534
What is 765 minus 626?,139
What is 192 minus 71?,121
What is 562 minus 958?,-396
What is 434 minus 285?,149
What is 972 minus 850?,122
What is 178 minus 542?,-364
What is 173 minus 64?,109
What is 674 minus 654?,20
What is 161 minus 593?,-432
What is 112 minus 964?,-852
What is 516 minus 647?,-131
What is 815 minus 556?,259
What is 619 minus 393?,226
What is 772 minus 445?,327
What is 272 minus 318?,-46
What is 291 minus 13?,278
What is 438 minus 797?,-359
What is 839 minus 735?,104
What is 287 minus 968?,-681
What is 264 minus 550?,-286
What is 539 minus 567?,-28
What is 325 minus 350?,-25
What is 194 minus 722?,-528
What is 801 minus 442?,359
What is 810 minus 145?,665
What is 865 minus 6?,859
What is 768 minus 523?,245
What is 159 minus 803?,-644
What is 676 minus 718?,-42
What is 945 minus 800?,145
What is 576 minus 393?,183
What is 369 minus 475?,-106
What is 972 minus 37?,935
What is 575 minus 934?,-359
What is 421 minus 651?,-230
What is 628 minus 817?,-189
What is 823 minus 778?,45
What is 233 minus 921?,-688
What is 16 minus 370?,-354
What is 541 minus 963?,-422
What is 162 minus 696?,-534
What is 199 minus 646?,-447
What is 362 minus 642?,-280
What is 716 minus 508?,208
What is 19 minus 748?,-729
What is 752 minus 255?,497
What is 585 minus 913?,-328
What is 247 minus 281?,-34
What is 189 minus 967?,-778
What is 776 minus 948?,-172
What is 430 minus 79?,351
What is 586 minus 458?,128
What is 242 minus 761?,-519
What is 730 minus 460?,270
