question,answer
What is 97 plus 61?,158
What is 45 plus 78?,123
What is 36 plus 86?,122
What is 45 plus 75?,120
What is 81 plus 79?,160
What is 16 plus 91?,107
What is 39 plus 49?,88
What is 95 plus 53?,148
What is 83 plus 10?,93
What is 0 plus 76?,76
What is 24 plus 89?,113
What is 42 plus 20?,62
What is 30 plus 28?,58
What is 81 plus 57?,138
What is 48 plus 90?,138
What is 86 plus 72?,158
What is 53 plus 4?,57
What is 51 plus 89?,140
What is 72 plus 53?,125
What is 98 plus 84?,182
What is 90 plus 5?,95
What is 21 plus 57?,78
What is 8 plus 33?,41
What is 89 plus 20?,109
What is 57 plus 67?,124
What is 62 plus 71?,133
What is 77 plus 96?,173
What is 0 plus 4?,4
What is 63 plus 41?,104
What is 39 plus 59?,98
What is 6 plus 53?,59
What is 24 plus 70?,94
What is 81 plus 10?,91
What is 92 plus 16?,108
What is 1 plus 51?,52
What is 86 plus 53?,139
What is 40 plus 0?,40
What is 27 plus 1?,28
What is 91 plus 96?,187
What is 0 plus 86?,86
What is 67 plus 78?,145
What is 12 plus 24?,36
What is 15 plus 77?,92
What is 83 plus 25?,108
What is 38 plus 35?,73
What is 88 plus 23?,111
What is 12 plus 60?,72
What is 50 plus 80?,130
What is 10 plus 2?,12
What is 35 plus 57?,92
What is 14 plus 32?,46
What is 17 plus 83?,100
What is 66 plus 83?,149
What is 82 plus 44?,126
What is 14 plus 19?,33
What is 35 plus 2?,37
What is 5 plus 5?,10
What is 26 plus 87?,113
What is 33 plus 71?,104
What is 40 plus 46?,86
What is 72 plus 5?,77
What is 95 plus 89?,184
What is 77 plus 83?,160
What is 63 plus 91?,154
What is 82 plus 58?,140
What is 81 plus 55?,136
What is 47 plus 68?,115
What is 22 plus 26?,48
What is 48 plus 75?,123
What is 37 plus 1?,38
What is 17 plus 19?,36
What is 34 plus 42?,76
What is 43 plus 47?,90
What is 91 plus 11?,102
What is 43 plus 99?,142
What is 79 plus 4?,83
What is 5 plus 34?,39
What is 20 plus 19?,39
What is 74 plus 37?,111
What is 46 plus 50?,96
What is 70 plus 16?,86
What is 37 plus 14?,51
What is 61 plus 93?,154
What is 30 plus 6?,36
What is 39 plus 22?,61
What is 66 plus 93?,159
What is 9 plus 38?,47
What is 51 plus 42?,93
What is 38 plus 53?,91
What is 13 plus 12?,25
What is 71 plus 61?,132
What is 60 plus 43?,103
What is 43 plus 15?,58
What is 61 plus 14?,75
What is 89 plus 63?,152
What is 54 plus 4?,58
What is 38 plus 42?,80
What is 94 plus 87?,181
What is 19 plus 21?,40
What is 80 plus 72?,152
What is 48 plus 81?,129
What is 11 plus 8?,19
What is 10 plus 25?,35
What is 95 plus 28?,123
What is 7 plus 49?,56
What is 1 plus 12?,13
What is 50 plus 71?,121
What is 66 plus 37?,103
What is 57 plus 62?,119
What is 74 plus 91?,165
What is 86 plus 27?,113
What is 54 plus 10?,64
What is 47 plus 28?,75
What is 33 plus 74?,107
What is 99 plus 21?,120
What is 55 plus 24?,79
What is 45 plus 14?,59
What is 8 plus 89?,97
What is 3 plus 67?,70
What is 57 plus 96?,153
What is 86 plus 25?,111
What is 15 plus 63?,78
What is 50 plus 32?,82
What is 26 plus 82?,108
What is 5 plus 27?,32
What is 79 plus 18?,97
What is 13 plus 25?,38
What is 58 plus 48?,106
What is 46 plus 69?,115
What is 19 plus 13?,32
What is 76 plus 62?,138
What is 18 plus 72?,90
What is 51 plus 81?,132
What is 87 plus 54?,141
What is 66 plus 63?,129
What is 86 plus 41?,127
What is 63 plus 63?,126
What is 81 plus 85?,166
What is 25 plus 69?,94
What is 78 plus 28?,106
What is 1 plus 43?,44
What is 90 plus 95?,185
What is 40 plus 41?,81
What is 4 plus 67?,71
What is 18 plus 32?,50
What is 77 plus 19?,96
What is 48 plus 74?,122
What is 37 plus 91?,128
What is 90 plus 60?,150
What is 8 plus 10?,18
What is 66 plus 5?,71
What is 8 plus 28?,36
What is 16 plus 5?,21
What is 38 plus 1?,39
What is 97 plus 57?,154
What is 42 plus 20?,62
What is 19 plus 83?,102
What is 58 plus 47?,105
What is 64 plus 48?,112
What is 67 plus 64?,131
What is 4 plus 73?,77
What is 11 plus 86?,97
What is 66 plus 97?,163
What is 76 plus 9?,85
What is 95 plus 54?,149
What is 96 plus 26?,122
What is 37 plus 68?,105
What is 76 plus 53?,129
What is 61 plus 49?,110
What is 77 plus 75?,152
What is 29 plus 2?,31
What is 84 plus 0?,84
What is 94 plus 23?,117
What is 38 plus 64?,102
What is 72 plus 32?,104
What is 42 plus 8?,50
What is 63 plus 33?,96
What is 38 plus 98?,136
What is 52 plus 49?,101
What is 49 plus 7?,56
What is 20 plus 82?,102
What is 16 plus 30?,46
What is 36 plus 93?,129
What is 42 plus 7?,49
What is 4 plus 61?,65
What is 53 plus 18?,71
What is 62 plus 77?,139
What is 91 plus 10?,101
What is 86 plus 89?,175
What is 19 plus 45?,64
What is 52 plus 4?,56
What is 78 plus 59?,137
What is 49 plus 58?,107
What is 6 plus 12?,18
What is 60 plus 99?,159
What is 19 plus 2?,21
What is 4 plus 76?,80
What is 79 plus 16?,95
What is 80 plus 41?,121
What is 13 plus 89?,102
What is 70 plus 83?,153
What is 44 plus 24?,68
What is 49 plus 99?,148
What is 99 plus 62?,161
What is 14 plus 7?,21
What is 78 plus 89?,167
What is 59 plus 78?,137
What is 80 plus 43?,123
What is 83 plus 15?,98
What is 87 plus 91?,178
What is 79 plus 37?,116
What is 16 plus 49?,65
What is 37 plus 95?,132
What is 87 plus 15?,102
What is 66 plus 24?,90
What is 4 plus 50?,54
What is 56 plus 47?,103
What is 96 plus 24?,120
What is 58 plus 45?,103
What is 80 plus 9?,89
What is 5 plus 5?,10
What is 62 plus 32?,94
What is 3 plus 66?,69
What is 85 plus 72?,157
What is 73 plus 27?,100
What is 29 plus 11?,40
What is 99 plus 80?,179
What is 99 plus 64?,163
What is 89 plus 67?,156
What is 53 plus 64?,117
What is 39 plus 14?,53
What is 18 plus 54?,72
What is 72 plus 54?,126
What is 10 plus 13?,23
What is 53 plus 8?,61
What is 12 plus 53?,65
What is 99 plus 19?,118
What is 93 plus 3?,96
What is 57 plus 55?,112
What is 87 plus 53?,140
What is 3 plus 63?,66
What is 41 plus 92?,133
What is 32 plus 10?,42
What is 45 plus 9?,54
What is 15 plus 45?,60
What is 88 plus 3?,91
What is 44 plus 44?,88
What is 22 plus 1?,23
What is 29 plus 46?,75
What is 9 plus 76?,85
What is 18 plus 26?,44
What is 0 plus 26?,26
What is 84 plus 86?,170
What is 93 plus 15?,108
What is 95 plus 0?,95
What is 37 plus 47?,84
What is 88 plus 3?,91
What is 77 plus 29?,106
What is 18 plus 23?,41
What is 58 plus 14?,72
What is 61 plus 44?,105
What is 90 plus 33?,123
What is 16 plus 3?,19
What is 26 plus 46?,72
What is 42 plus 60?,102
What is 37 plus 37?,74
What is 70 plus 81?,151
What is 41 plus 23?,64
What is 75 plus 10?,85
What is 13 plus 68?,81
What is 74 plus 39?,113
What is 20 plus 48?,68
What is 18 plus 16?,34
What is 28 plus 40?,68
What is 65 plus 31?,96
What is 30 plus 96?,126
What is 23 plus 37?,60
What is 47 plus 53?,100
What is 84 plus 5?,89
What is 16 plus 76?,92
What is 2 plus 50?,52
What is 9 plus 89?,98
What is 9 plus 16?,25
What is 53 plus 38?,91
What is 70 plus 53?,123
What is 94 plus 18?,112
What is 75 plus 54?,129
What is 38 plus 81?,119
What is 45 plus 10?,55
What is 31 plus 56?,87
What is 80 plus 47?,127
What is 81 plus 67?,148
What is 7 plus 48?,55
What is 52 plus 1?,53
What is 53 plus 93?,146
What is 41 plus 56?,97
What is 26 plus 47?,73
What is 37 plus 60?,97
What is 11 plus 23?,34
What is 13 plus 35?,48
What is 14 plus 71?,85
What is 77 plus 88?,165
What is 19 plus 89?,108
What is 57 plus 51?,108
What is 23 plus 98?,121
What is 53 plus 55?,108
What is 22 plus 31?,53
What is 58 plus 43?,101
What is 66 plus 18?,84
What is 45 plus 59?,104
What is 80 plus 81?,161
What is 11 plus 61?,72
What is 96 plus 26?,122
What is 37 plus 0?,37
What is 89 plus 57?,146
What is 79 plus 59?,138
What is 0 plus 27?,27
What is 38 plus 14?,52
What is 98 plus 80?,178
What is 38 plus 69?,107
What is 77 plus 19?,96
What is 54 plus 90?,144
What is 96 plus 60?,156
What is 11 plus 86?,97
What is 63 plus 97?,160
What is 29 plus 69?,98
What is 97 plus 51?,148
What is 35 plus 80?,115
What is 2 plus 15?,17
What is 34 plus 85?,119
What is 5 plus 0?,5
What is 32 plus 50?,82
What is 67 plus 74?,141
What is 90 plus 50?,140
What is 56 plus 13?,69
What is 95 plus 32?,127
What is 45 plus 36?,81
What is 96 plus 86?,182
What is 25 plus 76?,101
What is 10 plus 4?,14
What is 9 plus 33?,42
What is 39 plus 68?,107
What is 43 plus 15?,58
What is 67 plus 31?,98
What is 97 plus 20?,117
What is 8 plus 53?,61
What is 37 plus 36?,73
What is 66 plus 17?,83
What is 73 plus 66?,139
What is 80 plus 26?,106
What is 68 plus 13?,81
What is 52 plus 81?,133
What is 69 plus 51?,120
What is 94 plus 99?,193
What is 35 plus 37?,72
What is 56 plus 47?,103
What is 72 plus 80?,152
What is 17 plus 20?,37
What is 15 plus 89?,104
What is 15 plus 48?,63
What is 51 plus 75?,126
What is 59 plus 17?,76
What is 71 plus 85?,156
What is 38 plus 45?,83
What is 80 plus 60?,140
What is 95 plus 53?,148
What is 27 plus 61?,88
What is 62 plus 88?,150
What is 64 plus 40?,104
What is 63 plus 83?,146
What is 7 plus 56?,63
What is 38 plus 18?,56
What is 95 plus 63?,158
What is 6 plus 79?,85
What is 27 plus 3?,30
What is 45 plus 60?,105
What is 50 plus 1?,51
What is 67 plus 8?,75
What is 87 plus 10?,97
What is 87 plus 94?,181
What is 85 plus 50?,135
What is 0 plus 46?,46
What is 5 plus 14?,19
What is 79 plus 0?,79
What is 34 plus 81?,115
What is 89 plus 37?,126
What is 93 plus 29?,122
What is 18 plus 96?,114
What is 73 plus 36?,109
What is 24 plus 13?,37
What is 55 plus 58?,113
What is 91 plus 42?,133
What is 49 plus 21?,70
What is 42 plus 53?,95
What is 82 plus 87?,169
What is 55 plus 18?,73
What is 57 plus 90?,147
What is 18 plus 67?,85
What is 40 plus 16?,56
What is 26 plus 23?,49
What is 56 plus 44?,100
What is 49 plus 54?,103
What is 62 plus 49?,111
What is 93 plus 28?,121
What is 25 plus 56?,81
What is 26 plus 75?,101
What is 90 plus 6?,96
What is 49 plus 4?,53
What is 29 plus 81?,110
What is 10 plus 23?,33
What is 46 plus 7?,53
What is 95 plus 81?,176
What is 86 plus 22?,108
What is 29 plus 78?,107
What is 38 plus 78?,116
What is 11 plus 90?,101
What is 65 plus 96?,161
What is 36 plus 98?,134
What is 45 plus 52?,97
What is 58 plus 6?,64
What is 80 plus 89?,169
What is 66 plus 85?,151
What is 83 plus 70?,153
What is 94 plus 55?,149
What is 74 plus 58?,132
What is 62 plus 32?,94
What is 90 plus 60?,150
What is 27 plus 43?,70
What is 34 plus 5?,39
What is 5 plus 6?,11
What is 20 plus 44?,64
What is 0 plus 37?,37
What is 83 plus 0?,83
What is 17 plus 8?,25
What is 54 plus 87?,141
What is 28 plus 77?,105
What is 50 plus 71?,121
What is 28 plus 58?,86
What is 24 plus 43?,67
What is 77 plus 13?,90
What is 77 plus 10?,87
What is 40 plus 41?,81
What is 68 plus 58?,126
What is 41 plus 32?,73
What is 3 plus 66?,69
What is 5 plus 24?,29
What is 47 plus 10?,57
What is 26 plus 67?,93
What is 44 plus 24?,68
What is 25 plus 32?,57
What is 86 plus 93?,179
What is 94 plus 38?,132
What is 39 plus 66?,105
What is 49 plus 32?,81
What is 61 plus 44?,105
What is 91 plus 30?,121
What is 5 plus 39?,44
What is 70 plus 9?,79
What is 1 plus 58?,59
What is 63 plus 92?,155
What is 56 plus 6?,62
What is 52 plus 63?,115
What is 58 plus 56?,114
What is 15 plus 10?,25
What is 10 plus 30?,40
What is 12 plus 97?,109
What is 19 plus 52?,71
What is 27 plus 56?,83
What is 78 plus 9?,87
What is 54 plus 71?,125
What is 96 plus 50?,146
What is 5 plus 23?,28
What is 31 plus 62?,93
What is 28 plus 16?,44
What is 35 plus 45?,80
What is 40 plus 55?,95
What is 13 plus 71?,84
What is 36 plus 78?,114
What is 69 plus 25?,94
What is 91 plus 37?,128
What is 99 plus 56?,155
What is 65 plus 77?,142
What is 59 plus 68?,127
What is 81 plus 33?,114
What is 34 plus 29?,63
What is 2 plus 15?,17
What is 78 plus 91?,169
What is 12 plus 22?,34
What is 93 plus 53?,146
What is 31 plus 27?,58
What is 36 plus 94?,130
What is 84 plus 0?,84
What is 94 plus 68?,162
What is 65 plus 54?,119
What is 6 plus 15?,21
What is 49 plus 82?,131
What is 34 plus 15?,49
What is 94 plus 72?,166
What is 45 plus 29?,74
What is 86 plus 91?,177
What is 90 plus 69?,159
What is 84 plus 36?,120
What is 28 plus 94?,122
What is 30 plus 8?,38
What is 66 plus 39?,105
What is 86 plus 41?,127
What is 29 plus 47?,76
What is 80 plus 61?,141
What is 36 plus 74?,110
What is 21 plus 17?,38
What is 1 plus 70?,71
What is 64 plus 41?,105
What is 46 plus 74?,120
What is 81 plus 3?,84
What is 16 plus 50?,66
What is 19 plus 22?,41
What is 65 plus 9?,74
What is 17 plus 97?,114
What is 26 plus 99?,125
What is 63 plus 72?,135
What is 98 plus 89?,187
What is 27 plus 30?,57
What is 93 plus 16?,109
What is 29 plus 97?,126
What is 49 plus 45?,94
What is 77 plus 75?,152
What is 16 plus 80?,96
What is 63 plus 13?,76
What is 78 plus 3?,81
What is 67 plus 76?,143
What is 45 plus 62?,107
What is 58 plus 39?,97
What is 1 plus 28?,29
What is 71 plus 83?,154
What is 20 plus 84?,104
What is 63 plus 94?,157
What is 61 plus 69?,130
What is 40 plus 90?,130
What is 10 plus 33?,43
What is 17 plus 77?,94
What is 51 plus 90?,141
What is 24 plus 40?,64
What is 37 plus 49?,86
What is 7 plus 26?,33
What is 4 plus 40?,44
What is 92 plus 95?,187
What is 31 plus 43?,74
What is 56 plus 85?,141
What is 92 plus 84?,176
What is 84 plus 28?,112
What is 33 plus 44?,77
What is 85 plus 20?,105
What is 39 plus 2?,41
What is 45 plus 73?,118
What is 69 plus 7?,76
What is 93 plus 80?,173
What is 19 plus 45?,64
What is 2 plus 62?,64
What is 80 plus 7?,87
What is 3 plus 30?,33
What is 5 plus 1?,6
What is 28 plus 83?,111
What is 41 plus 8?,49
What is 7 plus 44?,51
What is 84 plus 54?,138
What is 17 plus 27?,44
What is 57 plus 55?,112
What is 18 plus 45?,63
What is 39 plus 22?,61
What is 83 plus 42?,125
What is 93 plus 95?,188
What is 52 plus 48?,100
What is 1 plus 52?,53
What is 33 plus 68?,101
What is 68 plus 94?,162
What is 87 plus 90?,177
What is 59 plus 97?,156
What is 5 plus 72?,77
What is 15 plus 52?,67
What is 49 plus 21?,70
What is 0 plus 64?,64
What is 17 plus 79?,96
What is 84 plus 65?,149
What is 93 plus 89?,182
What is 18 plus 10?,28
What is 42 plus 30?,72
What is 22 plus 31?,53
What is 2 plus 21?,23
What is 95 plus 87?,182
What is 71 plus 21?,92
What is 91 plus 10?,101
What is 54 plus 76?,130
What is 13 plus 79?,92
What is 80 plus 58?,138
What is 90 plus 19?,109
What is 78 plus 77?,155
What is 5 plus 32?,37
What is 43 plus 94?,137
What is 93 plus 48?,141
What is 3 plus 80?,83
What is 4 plus 63?,67
What is 11 plus 45?,56
What is 37 plus 85?,122
What is 19 plus 58?,77
What is 30 plus 64?,94
What is 45 plus 20?,65
What is 94 plus 96?,190
What is 51 plus 43?,94
What is 34 plus 63?,97
What is 50 plus 1?,51
What is 39 plus 67?,106
What is 36 plus 70?,106
What is 60 plus 4?,64
What is 98 plus 68?,166
What is 73 plus 70?,143
What is 33 plus 87?,120
What is 4 plus 58?,62
What is 50 plus 92?,142
What is 15 plus 51?,66
What is 44 plus 63?,107
What is 6 plus 2?,8
What is 34 plus 94?,128
What is 4 plus 32?,36
What is 87 plus 87?,174
What is 74 plus 89?,163
What is 99 plus 37?,136
What is 87 plus 97?,184
What is 26 plus 97?,123
What is 67 plus 66?,133
What is 43 plus 49?,92
What is 32 plus 26?,58
What is 14 plus 72?,86
What is 42 plus 31?,73
What is 75 plus 86?,161
What is 92 plus 68?,160
What is 87 plus 45?,132
What is 20 plus 19?,39
What is 42 plus 95?,137
What is 1 plus 74?,75
What is 6 plus 72?,78
What is 19 plus 44?,63
What is 46 plus 37?,83
What is 80 plus 37?,117
What is 41 plus 63?,104
What is 51 plus 76?,127
What is 55 plus 21?,76
What is 0 plus 18?,18
What is 72 plus 5?,77
What is 56 plus 16?,72
What is 43 plus 1?,44
What is 92 plus 61?,153
What is 85 plus 84?,169
What is 99 plus 32?,131
What is 95 plus 78?,173
What is 24 plus 8?,32
What is 70 plus 54?,124
What is 35 plus 22?,57
What is 67 plus 21?,88
What is 8 plus 84?,92
What is 81 plus 20?,101
What is 74 plus 14?,88
What is 64 plus 80?,144
What is 69 plus 77?,146
What is 49 plus 96?,145
What is 55 plus 34?,89
What is 39 plus 36?,75
What is 1 plus 54?,55
What is 99 plus 91?,190
What is 35 plus 33?,68
What is 68 plus 67?,135
What is 70 plus 40?,110
What is 43 plus 24?,67
What is 90 plus 55?,145
What is 18 plus 0?,18
What is 96 plus 65?,161
What is 19 plus 84?,103
What is 89 plus 72?,161
What is 49 plus 46?,95
What is 59 plus 4?,63
What is 71 plus 52?,123
What is 81 plus 78?,159
What is 97 plus 29?,126
What is 2 plus 46?,48
What is 67 plus 20?,87
What is 87 plus 24?,111
What is 80 plus 45?,125
What is 80 plus 89?,169
What is 63 plus 2?,65
What is 93 plus 94?,187
What is 31 plus 73?,104
What is 30 plus 35?,65
What is 23 plus 97?,120
What is 53 plus 9?,62
What is 73 plus 57?,130
What is 30 plus 95?,125
What is 91 plus 57?,148
What is 65 plus 90?,155
What is 12 plus 24?,36
What is 21 plus 56?,77
What is 8 plus 54?,62
What is 81 plus 50?,131
What is 34 plus 32?,66
What is 55 plus 96?,151
What is 99 plus 45?,144
What is 78 plus 41?,119
What is 11 plus 39?,50
What is 3 plus 63?,66
What is 1 plus 97?,98
What is 32 plus 25?,57
What is 97 plus 50?,147
What is 49 plus 55?,104
What is 99 plus 81?,180
What is 80 plus 86?,166
What is 49 plus 89?,138
What is 4 plus 74?,78
What is 59 plus 45?,104
What is 72 plus 16?,88
What is 72 plus 90?,162
What is 35 plus 41?,76
What is 3 plus 50?,53
What is 60 plus 66?,126
What is 17 plus 5?,22
What is 10 plus 72?,82
What is 44 plus 46?,90
What is 0 plus 8?,8
What is 24 plus 91?,115
What is 14 plus 85?,99
What is 69 plus 60?,129
What is 5 plus 40?,45
What is 3 plus 40?,43
What is 50 plus 16?,66
What is 97 plus 81?,178
What is 35 plus 52?,87
What is 85 plus 18?,103
What is 76 plus 18?,94
What is 51 plus 39?,90
What is 65 plus 7?,72
What is 20 plus 16?,36
What is 17 plus 61?,78
What is 90 plus 82?,172
What is 91 plus 97?,188
What is 92 plus 5?,97
What is 93 plus 66?,159
What is 5 plus 71?,76
What is 88 plus 95?,183
What is 89 plus 80?,169
What is 49 plus 23?,72
What is 44 plus 74?,118
What is 10 plus 10?,20
What is 71 plus 22?,93
What is 33 plus 25?,58
What is 33 plus 41?,74
What is 89 plus 90?,179
What is 32 plus 33?,65
What is 66 plus 58?,124
What is 19 plus 96?,115
What is 57 plus 70?,127
What is 19 plus 4?,23
What is 80 plus 74?,154
What is 22 plus 82?,104
What is 65 plus 4?,69
What is 96 plus 40?,136
What is 9 plus 24?,33
What is 82 plus 58?,140
What is 78 plus 30?,108
What is 58 plus 66?,124
What is 20 plus 90?,110
What is 42 plus 83?,125
What is 17 plus 60?,77
What is 98 plus 71?,169
What is 7 plus 69?,76
What is 10 plus 66?,76
What is 43 plus 0?,43
What is 99 plus 10?,109
What is 13 plus 54?,67
What is 77 plus 45?,122
What is 72 plus 57?,129
What is 42 plus 48?,90
What is 65 plus 46?,111
What is 81 plus 15?,96
What is 17 plus 40?,57
What is 2 plus 23?,25
What is 93 plus 16?,109
What is 2 plus 43?,45
What is 77 plus 24?,101
What is 5 plus 52?,57
What is 82 plus 7?,89
What is 89 plus 39?,128
What is 49 plus 6?,55
What is 76 plus 98?,174
What is 91 plus 21?,112
What is 45 plus 9?,54
What is 52 plus 6?,58
What is 56 plus 45?,101
What is 77 plus 79?,156
What is 96 plus 32?,128
What is 86 plus 39?,125
What is 72 plus 58?,130
What is 52 plus 23?,75
What is 3 plus 58?,61
What is 33 plus 24?,57
What is 49 plus 8?,57
What is 45 plus 12?,57
What is 15 plus 3?,18
What is 44 plus 2?,46
What is 22 plus 51?,73
What is 78 plus 88?,166
What is 83 plus 1?,84
What is 41 plus 58?,99
What is 70 plus 95?,165
What is 88 plus 63?,151
What is 60 plus 10?,70
What is 6 plus 68?,74
What is 51 plus 33?,84
What is 3 plus 82?,85
What is 66 plus 12?,78
What is 10 plus 42?,52
What is 45 plus 12?,57
What is 60 plus 4?,64
What is 19 plus 66?,85
What is 80 plus 36?,116
What is 4 plus 0?,4
What is 48 plus 43?,91
What is 20 plus 70?,90
What is 89 plus 18?,107
What is 20 plus 22?,42
What is 99 plus 20?,119
What is 81 plus 87?,168
What is 31 plus 79?,110
What is 42 plus 3?,45
What is 61 plus 80?,141
What is 86 plus 50?,136
What is 5 plus 28?,33
What is 30 plus 81?,111
What is 36 plus 42?,78
What is 21 plus 30?,51
What is 45 plus 28?,73
What is 20 plus 53?,73
What is 59 plus 46?,105
What is 72 plus 17?,89
What is 49 plus 72?,121
What is 98 plus 1?,99
What is 20 plus 74?,94
What is 0 plus 87?,87
What is 49 plus 91?,140
What is 22 plus 19?,41
What is 2 plus 3?,5
What is 41 plus 65?,106
What is 0 plus 4?,4
What is 6 plus 99?,105
What is 14 plus 73?,87
What is 78 plus 18?,96
What is 99 plus 19?,118
What is 86 plus 48?,134
What is 3 plus 53?,56
What is 55 plus 72?,127
What is 87 plus 42?,129
What is 91 plus 31?,122
What is 17 plus 46?,63
What is 65 plus 27?,92
What is 68 plus 51?,119
What is 9 plus 16?,25
What is 52 plus 72?,124
What is 84 plus 44?,128
What is 12 plus 55?,67
What is 55 plus 31?,86
What is 60 plus 48?,108
What is 28 plus 50?,78
What is 30 plus 82?,112
What is 61 plus 50?,111
What is 74 plus 8?,82
What is 32 plus 35?,67
What is 67 plus 47?,114
What is 69 plus 2?,71
What is 77 plus 78?,155
What is 99 plus 60?,159
What is 30 plus 35?,65
What is 5 plus 78?,83
What is 41 plus 50?,91
What is 80 plus 13?,93
What is 68 plus 6?,74
What is 18 plus 91?,109
What is 50 plus 3?,53
What is 98 plus 53?,151
What is 93 plus 50?,143
What is 55 plus 13?,68
What is 91 plus 58?,149
What is 77 plus 59?,136
What is 20 plus 21?,41
What is 43 plus 60?,103
What is 52 plus 20?,72
What is 75 plus 36?,111
What is 97 plus 64?,161
What is 14 plus 47?,61
What is 44 plus 18?,62
What is 80 plus 45?,125
What is 98 plus 60?,158
What is 80 plus 66?,146
What is 96 plus 6?,102
What is 25 plus 32?,57
What is 22 plus 92?,114
What is 74 plus 41?,115
What is 37 plus 48?,85
What is 81 plus 5?,86
What is 37 plus 70?,107
What is 55 plus 4?,59
What is 87 plus 52?,139
What is 34 plus 48?,82
What is 93 plus 26?,119
What is 44 plus 17?,61
What is 16 plus 14?,30
What is 78 plus 45?,123
What is 21 plus 3?,24
What is 55 plus 73?,128
What is 50 plus 59?,109
What is 9 plus 82?,91
What is 90 plus 90?,180
What is 87 plus 9?,96
What is 99 plus 54?,153
What is 69 plus 92?,161
What is 70 plus 17?,87
What is 21 plus 19?,40
What is 26 plus 21?,47
What is 29 plus 3?,32
What is 67 plus 17?,84
What is 63 plus 45?,108
What is 79 plus 94?,173
What is 36 plus 91?,127
What is 42 plus 87?,129
What is 15 plus 52?,67
What is 98 plus 33?,131
What is 20 plus 43?,63
What is 80 plus 64?,144
What is 42 plus 68?,110
What is 88 plus 18?,106
What is 48 plus 94?,142
What is 95 plus 71?,166
What is 39 plus 30?,69
What is 48 plus 44?,92
What is 49 plus 60?,109
What is 65 plus 39?,104
What is 52 plus 52?,104
What is 12 plus 87?,99
What is 19 plus 18?,37
What is 0 plus 74?,74
What is 76 plus 81?,157
