source,model,tag,helper_tag,n_shots,accuracy,n_correct,total
results/arithmetics/base/davinci_2D-_1_100_5D-.jsonl,davinci,2D-,5D-,1,0.47,47,100
results/arithmetics/base/davinci_2D-_2_100.jsonl,davinci,2D-,2D-,2,0.48,48,100
results/arithmetics/base/davinci_2D-_3_100.jsonl,davinci,2D-,2D-,3,0.45,45,100
results/arithmetics/base/davinci_2Dx_0_100.jsonl,davinci,2Dx,2Dx,0,0.35,35,100
results/arithmetics/base/davinci_2Dx_1_100.jsonl,davinci,2Dx,2Dx,1,0.52,52,100
results/arithmetics/base/davinci_2Dx_1_100_1DC.jsonl,davinci,2Dx,1DC,1,0.37,37,100
results/arithmetics/base/davinci_2Dx_1_100_2D+.jsonl,davinci,2Dx,2D+,1,0.36,36,100
results/arithmetics/base/davinci_2Dx_1_100_2D-.jsonl,davinci,2Dx,2D-,1,0.38,38,100
results/arithmetics/base/davinci_2Dx_1_100_3D+.jsonl,davinci,2Dx,3D+,1,0.47,47,100
results/arithmetics/base/davinci_2Dx_1_100_3D-.jsonl,davinci,2Dx,3D-,1,0.43,43,100
results/arithmetics/base/davinci_2Dx_1_100_4D+.jsonl,davinci,2Dx,4D+,1,0.5,50,100
results/arithmetics/base/davinci_2Dx_1_100_4D-.jsonl,davinci,2Dx,4D-,1,0.41,41,100
results/arithmetics/base/davinci_2Dx_1_100_5D+.jsonl,davinci,2Dx,5D+,1,0.49,49,100
results/arithmetics/base/davinci_2Dx_1_100_5D-.jsonl,davinci,2Dx,5D-,1,0.4,40,100
results/arithmetics/base/davinci_2Dx_2_100.jsonl,davinci,2Dx,2Dx,2,0.41,41,100
results/arithmetics/base/davinci_2Dx_3_100.jsonl,davinci,2Dx,2Dx,3,0.46,46,100
results/arithmetics/base/davinci_3D+_0_100.jsonl,davinci,3D+,3D+,0,0.49,49,100
results/arithmetics/base/davinci_3D+_1_100.jsonl,davinci,3D+,3D+,1,0.76,76,100
results/arithmetics/base/davinci_3D+_1_100_1DC.jsonl,davinci,3D+,1DC,1,0.62,62,100
results/arithmetics/base/davinci_3D+_1_100_2D+.jsonl,davinci,3D+,2D+,1,0.63,63,100
results/arithmetics/base/davinci_3D+_1_100_2D-.jsonl,davinci,3D+,2D-,1,0.55,55,100
results/arithmetics/base/davinci_3D+_1_100_2Dx.jsonl,davinci,3D+,2Dx,1,0.76,76,100
results/arithmetics/base/davinci_3D+_1_100_3D-.jsonl,davinci,3D+,3D-,1,0.65,65,100
results/arithmetics/base/davinci_3D+_1_100_4D+.jsonl,davinci,3D+,4D+,1,0.79,79,100
results/arithmetics/base/davinci_3D+_1_100_4D-.jsonl,davinci,3D+,4D-,1,0.73,73,100
results/arithmetics/base/davinci_3D+_1_100_5D+.jsonl,davinci,3D+,5D+,1,0.72,72,100
results/arithmetics/base/davinci_3D+_1_100_5D-.jsonl,davinci,3D+,5D-,1,0.78,78,100
results/arithmetics/base/davinci_3D+_2_100.jsonl,davinci,3D+,3D+,2,0.75,75,100
results/arithmetics/base/davinci_3D+_3_100.jsonl,davinci,3D+,3D+,3,0.77,77,100
results/arithmetics/base/davinci_3D-_0_100.jsonl,davinci,3D-,3D-,0,0.3,30,100
results/arithmetics/base/davinci_3D-_1_100.jsonl,davinci,3D-,3D-,1,0.45,45,100
results/arithmetics/base/davinci_3D-_1_100_1DC.jsonl,davinci,3D-,1DC,1,0.48,48,100
results/arithmetics/base/davinci_3D-_1_100_2D+.jsonl,davinci,3D-,2D+,1,0.48,48,100
results/arithmetics/base/davinci_3D-_1_100_2D-.jsonl,davinci,3D-,2D-,1,0.46,46,100
results/arithmetics/base/davinci_3D-_1_100_2Dx.jsonl,davinci,3D-,2Dx,1,0.46,46,100
results/arithmetics/base/davinci_3D-_1_100_3D+.jsonl,davinci,3D-,3D+,1,0.48,48,100
results/arithmetics/base/davinci_3D-_1_100_4D+.jsonl,davinci,3D-,4D+,1,0.45,45,100
results/arithmetics/base/davinci_3D-_1_100_4D-.jsonl,davinci,3D-,4D-,1,0.43,43,100
results/arithmetics/base/davinci_3D-_1_100_5D+.jsonl,davinci,3D-,5D+,1,0.45,45,100
results/arithmetics/base/davinci_3D-_1_100_5D-.jsonl,davinci,3D-,5D-,1,0.41,41,100
results/arithmetics/base/davinci_3D-_2_100.jsonl,davinci,3D-,3D-,2,0.47,47,100
results/arithmetics/base/davinci_3D-_3_100.jsonl,davinci,3D-,3D-,3,0.44,44,100
results/arithmetics/base/davinci_4D+_0_100.jsonl,davinci,4D+,4D+,0,0.17,17,100
results/arithmetics/base/davinci_4D+_1_100.jsonl,davinci,4D+,4D+,1,0.37,37,100
results/arithmetics/base/davinci_4D+_1_100_1DC.jsonl,davinci,4D+,1DC,1,0.18,18,100
results/arithmetics/base/davinci_4D+_1_100_2D+.jsonl,davinci,4D+,2D+,1,0.2,20,100
results/arithmetics/base/davinci_4D+_1_100_2D-.jsonl,davinci,4D+,2D-,1,0.23,23,100
results/arithmetics/base/davinci_4D+_1_100_2Dx.jsonl,davinci,4D+,2Dx,1,0.25,25,100
results/arithmetics/base/davinci_4D+_1_100_3D+.jsonl,davinci,4D+,3D+,1,0.3,30,100
results/arithmetics/base/davinci_4D+_1_100_3D-.jsonl,davinci,4D+,3D-,1,0.27,27,100
results/arithmetics/base/davinci_4D+_1_100_4D-.jsonl,davinci,4D+,4D-,1,0.33,33,100
results/arithmetics/base/davinci_4D+_1_100_5D+.jsonl,davinci,4D+,5D+,1,0.25,25,100
results/arithmetics/base/davinci_4D+_1_100_5D-.jsonl,davinci,4D+,5D-,1,0.27,27,100
results/arithmetics/base/davinci_4D+_2_100.jsonl,davinci,4D+,4D+,2,0.28,28,100
results/arithmetics/base/davinci_4D+_3_100.jsonl,davinci,4D+,4D+,3,0.27,27,100
results/arithmetics/base/davinci_4D-_0_100.jsonl,davinci,4D-,4D-,0,0.1,10,100
results/arithmetics/base/davinci_4D-_1_100.jsonl,davinci,4D-,4D-,1,0.25,25,100
results/arithmetics/base/davinci_4D-_1_100_1DC.jsonl,davinci,4D-,1DC,1,0.15,15,100
results/arithmetics/base/davinci_4D-_1_100_2D+.jsonl,davinci,4D-,2D+,1,0.15,15,100
results/arithmetics/base/davinci_4D-_1_100_2D-.jsonl,davinci,4D-,2D-,1,0.22,22,100
results/arithmetics/base/davinci_4D-_1_100_2Dx.jsonl,davinci,4D-,2Dx,1,0.18,18,100
results/arithmetics/base/davinci_4D-_1_100_3D+.jsonl,davinci,4D-,3D+,1,0.22,22,100
results/arithmetics/base/davinci_4D-_1_100_3D-.jsonl,davinci,4D-,3D-,1,0.18,18,100
results/arithmetics/base/davinci_4D-_1_100_4D+.jsonl,davinci,4D-,4D+,1,0.22,22,100
results/arithmetics/base/davinci_4D-_1_100_5D+.jsonl,davinci,4D-,5D+,1,0.17,17,100
results/arithmetics/base/davinci_4D-_1_100_5D-.jsonl,davinci,4D-,5D-,1,0.19,19,100
results/arithmetics/base/davinci_4D-_2_100.jsonl,davinci,4D-,4D-,2,0.24,24,100
results/arithmetics/base/davinci_4D-_3_100.jsonl,davinci,4D-,4D-,3,0.22,22,100
results/arithmetics/base/davinci_5D+_0_100.jsonl,davinci,5D+,5D+,0,0.1,10,100
results/arithmetics/base/davinci_5D+_1_100.jsonl,davinci,5D+,5D+,1,0.08,8,100
results/arithmetics/base/davinci_5D+_1_100_1DC.jsonl,davinci,5D+,1DC,1,0.06,6,100
results/arithmetics/base/davinci_5D+_1_100_2D+.jsonl,davinci,5D+,2D+,1,0.08,8,100
results/arithmetics/base/davinci_5D+_1_100_2D-.jsonl,davinci,5D+,2D-,1,0.04,4,100
results/arithmetics/base/davinci_5D+_1_100_2Dx.jsonl,davinci,5D+,2Dx,1,0.08,8,100
results/arithmetics/base/davinci_5D+_1_100_3D+.jsonl,davinci,5D+,3D+,1,0.1,10,100
results/arithmetics/base/davinci_5D+_1_100_3D-.jsonl,davinci,5D+,3D-,1,0.09,9,100
results/arithmetics/base/davinci_5D+_1_100_4D+.jsonl,davinci,5D+,4D+,1,0.09,9,100
results/arithmetics/base/davinci_5D+_1_100_4D-.jsonl,davinci,5D+,4D-,1,0.09,9,100
results/arithmetics/base/davinci_5D+_1_100_5D-.jsonl,davinci,5D+,5D-,1,0.11,11,100
results/arithmetics/base/davinci_5D+_2_100.jsonl,davinci,5D+,5D+,2,0.07,7,100
results/arithmetics/base/davinci_5D+_3_100.jsonl,davinci,5D+,5D+,3,0.07,7,100
results/arithmetics/base/davinci_5D-_0_100.jsonl,davinci,5D-,5D-,0,0.05,5,100
results/arithmetics/base/davinci_5D-_1_100.jsonl,davinci,5D-,5D-,1,0.12,12,100
results/arithmetics/base/davinci_5D-_1_100_1DC.jsonl,davinci,5D-,1DC,1,0.08,8,100
results/arithmetics/base/davinci_5D-_1_100_2D+.jsonl,davinci,5D-,2D+,1,0.07,7,100
results/arithmetics/base/davinci_5D-_1_100_2D-.jsonl,davinci,5D-,2D-,1,0.06,6,100
results/arithmetics/base/davinci_5D-_1_100_2Dx.jsonl,davinci,5D-,2Dx,1,0.08,8,100
results/arithmetics/base/davinci_5D-_1_100_3D+.jsonl,davinci,5D-,3D+,1,0.06,6,100
results/arithmetics/base/davinci_5D-_1_100_3D-.jsonl,davinci,5D-,3D-,1,0.09,9,100
results/arithmetics/base/davinci_5D-_1_100_4D+.jsonl,davinci,5D-,4D+,1,0.07,7,100
results/arithmetics/base/davinci_5D-_1_100_4D-.jsonl,davinci,5D-,4D-,1,0.13,13,100
results/arithmetics/base/davinci_5D-_1_100_5D+.jsonl,davinci,5D-,5D+,1,0.1,10,100
results/arithmetics/base/davinci_5D-_2_100.jsonl,davinci,5D-,5D-,2,0.13,13,100
results/arithmetics/base/davinci_5D-_3_100.jsonl,davinci,5D-,5D-,3,0.07,7,100
